,poster_id,car_id,car_mileage,car_year,title,price,publish_date,location,professional,link,id
190,918392361,51,1.0,,Vendo Corsa Wind básico 7.500,7500,2021-08-14T18:09:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-corsa-wind-basico-7-500-918392361,191
191,911661789,160,39624,2016,"Uno Attractive 1.0 ano 15/16 Particular por R$ 38.500,00.",38500,2021-08-14T18:08:00,Caucaia,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/uno-attractive-1-0-ano-15-16-particular-por-r-38-500-00-911661789,192
192,905888928,161,70000,1991,Mazda Mx5 Miata 1991,85000,2021-08-14T18:11:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mazda-mx5-miata-1991-905888928,193
193,913172445,109,29404,2020,Ford Ka 2020 SE 1.0 Completo.,48900,2021-08-14T18:13:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2020-se-1-0-completo-913172445,194
194,912895233,80,36000,2015,36.000km Grand Siena 1.4 Attractice Flex 2015,39900,2021-08-14T18:13:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/36-000km-grand-siena-1-4-attractice-flex-2015-912895233,195
195,873102494,162,62118,2017,SPIN 2017 LT 1.8 Completa 5 Passageiros.,48900,2021-08-14T18:13:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/spin-2017-lt-1-8-completa-5-passageiros-873102494,196
196,913927378,163,29000,2017,Ford Ka+ Sedan Completo R$44.990,44990,2021-08-14T18:15:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-sedan-completo-r-44-990-913927378,197
197,888750284,164,90000,2018,Prisma LTZ ,62900,2021-08-14T18:18:00,Juazeiro do Norte,True,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/autos-e-pecas/carros-vans-e-utilitarios/prisma-ltz-888750284,198
198,894076656,165,2.0 - 2.9,,HYUNDAI IX35 2.0 MPFI GL 16V FLEX 4P AUTOMÁTICO,91700,2021-08-14T18:18:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-ix35-2-0-mpfi-gl-16v-flex-4p-automatico-894076656,199
199,918394705,166,120000,2012,GOL Trend G5 2012 1.0 T.Flex 4/Portas Completo ,27900,2021-08-14T18:17:00,Eusébio,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-trend-g5-2012-1-0-t-flex-4-portas-completo-918394705,200
200,918394568,167,16000,2018,PRISMA LT 1.4 AUTOMÁTICO ANO 17/18,65990,2021-08-14T18:17:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/prisma-lt-1-4-automatico-ano-17-18-918394568,201
201,918395330,168,162580,2001,Vendo palio 2001 /2001 motor fire 8 valvula ,10000,2021-08-14T18:20:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-palio-2001-2001-motor-fire-8-valvula-918395330,202
202,914653514,169,0,2021,Nivus HighLine 2021 Pronta Entrega,0,2021-08-14T18:19:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/nivus-highline-2021-pronta-entrega-914653514,203
203,894946432,12,40,2015,Corolla Blindado,78900,2021-08-14T18:19:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/corolla-blindado-894946432,204
204,882306881,170,69000,2019,Fiat Toro Volcano 2019 DIESEL completíssima! 4x4! Top!!!,130890,2021-08-14T18:19:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-volcano-2019-diesel-completissima-4x4-top-882306881,205
205,918005627,171,,,Honda HRV EXL 2018 Inpecavel HR-V,98900,2021-08-14T18:21:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/honda-hrv-exl-2018-inpecavel-hr-v-918005627,206
206,853134565,172,1.0,,FORD KA 1.0 TI-VCT FLEX SE MANUAL,44900,2021-08-14T18:21:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-1-0-ti-vct-flex-se-manual-853134565,207
207,889303247,173,30000,2020,Ford Ka 2020,49899,2021-08-14T18:21:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2020-889303247,208
208,886174298,33,42726,2020,Fiat Argo Drive 1.0 Firefly (Flex),59070,2021-08-14T18:23:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-drive-1-0-firefly-flex-886174298,209
209,902600693,76,1.8,,Hrv Ex 1.8 Aut. 2016 Branco Completo ,81900,2021-08-14T18:23:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hrv-ex-1-8-aut-2016-branco-completo-902600693,210
